timestep,object1,object2,y_bottom,y_center,y_top,area_1d,area_2d,intersection_1d,intersection_2d,spurious_intersection,shape_type
174.0,375,378,-0.018015025892716228,0,0.03116229235634527,0.02220462998767273,12276.0,True,True,False,rect
175.0,375,378,-0.0003822078820739129,0,0.04731843387354962,0.017432764657676868,10920.0,True,True,False,rect
176.0,375,378,0.007820228295958534,0,0.060054665988197184,0.014329349410923571,8976.0,True,True,False,rect
177.0,375,406,0.06008817192026808,0,0.12555682380764174,0.0005842849693627332,366.0,True,True,False,rect
177.0,375,378,0.046633121420607604,0,0.09468231204223357,0.011642596396386614,7293.0,True,True,False,rect
178.0,375,378,0.05063816027712862,0,0.10376658590053267,0.007049733400023678,4416.0,True,True,False,rect
178.0,375,406,0.07056131988590958,0,0.1262147292791685,0.004546567192771645,2848.0,True,True,False,rect
179.0,375,378,0.06182009035667961,0,0.11466648407323579,0.004623194729719943,2896.0,True,True,False,rect
179.0,375,406,0.08365361703265511,0,0.13042302135996112,0.007499920179662077,4698.0,True,True,False,rect
180.0,375,378,0.06792744093163988,0,0.12225583249829688,0.00227328359641992,1424.0,True,True,False,rect
180.0,375,406,0.09255467989242849,0,0.13478762760481275,0.008314087759794241,5208.0,True,True,False,rect
181.0,375,406,0.1323457371554774,0,0.1605648919111732,0.014840199657305616,9296.0,True,True,False,rect
182.0,375,406,0.14255710699489876,0,0.173410333333489,0.01144943114696393,7172.0,True,True,False,rect
183.0,375,406,0.1447577242880531,0,0.1799691417910675,0.007499920179644599,4698.0,True,True,False,rect
184.0,375,406,0.154663589112321,0,0.19192638963595177,0.004883409073972113,3059.0,True,True,False,rect
185.0,375,406,0.1375500176254476,0,0.1786947478858743,0.002043400985515664,1280.0,True,True,False,rect
185.0,378,406,0.11845698966706446,0,0.15968686163519635,0.0012451974755634948,780.0,True,True,False,rect
186.0,375,406,0.14337468797527939,0,0.18190131072302562,0.002774555400638756,1738.0,True,True,False,rect
186.0,378,406,0.12587008500170943,0,0.16481443425299033,0.0017097519183516688,1071.0,True,True,False,rect
187.0,378,406,0.13633561201677183,0,0.16721544513903147,0.006225987377737971,3900.0,True,True,False,rect
187.0,375,406,0.14577569886132052,0,0.18304116006328797,0.003531252328106061,2212.0,True,True,False,rect
188.0,378,406,0.1465906836126711,0,0.16803042989038205,0.011733591596513882,7056.0,True,True,False,rect
188.0,375,378,0.14694987519215622,0,0.18469691917849096,0.0021120464873724955,1323.0,True,True,False,rect
188.0,375,406,0.1465906836126711,0,0.18469691917849096,0.0030267877097945963,1896.0,True,True,False,rect
189.0,378,406,0.14803967054127654,0,0.18088308429804795,0.004337437873160297,2717.0,True,True,False,rect
189.0,375,406,0.14803967054127654,0,0.18838353661337026,0.001765626164046852,1106.0,True,True,False,rect
189.0,375,378,0.16225035369705393,0,0.18838353661337026,0.00860782665148339,5040.0,True,True,False,rect
190.0,378,406,0.14880861361360406,0,0.18788599678321696,0.0004469939655814828,280.0,True,True,False,rect
190.0,375,378,0.1656241008902401,0,0.18788599678321696,0.01069911984759675,5922.0,True,True,False,rect
190.0,375,406,0.14880861361360406,0,0.1873352363613398,0.0027745554006450507,1738.0,True,True,False,rect
191.0,375,406,0.14878036822314183,0,0.1877273781527935,0.0025223230914954886,1580.0,True,True,False,rect
191.0,378,406,0.14878036822314183,0,0.18721652790641466,0.0009067591873224322,568.0,True,True,False,rect
191.0,375,378,0.1660162426816938,0,0.1877273781527935,0.011104607230659945,6390.0,True,True,False,rect
192.0,375,378,0.1676795899988111,0,0.18939072546991081,0.011104607230659945,6532.0,True,True,False,rect
192.0,378,406,0.15806123770370994,0,0.18895171353942902,0.005022296484711932,3146.0,True,True,False,rect
192.0,375,406,0.15806123770370994,0,0.18939072546991081,0.006680963378423219,4185.0,True,True,False,rect
193.0,378,406,0.17682111068512024,0,0.20718477220426118,0.005324017411479433,3335.0,True,True,False,rect
193.0,375,406,0.17682111068512024,0,0.20612050085763864,0.007571758495546314,4743.0,True,True,False,rect
193.0,375,378,0.18440936538653893,0,0.20718477220426118,0.010778940198593438,6149.0,True,True,False,rect
194.0,358,375,0.13574516766063832,0,0.1878731782182097,0.00045657240770131176,286.0,True,True,False,rect
194.0,358,406,0.13574516766063832,0,0.18063613306117277,0.004064452272754047,2546.0,True,True,False,rect
194.0,375,406,0.160148909638689,0,0.1878731782182097,0.008684454188437992,4983.0,True,True,False,rect
194.0,378,406,0.160148909638689,0,0.18995382870085226,0.00582688562275908,3650.0,True,True,False,rect
194.0,375,378,0.16616204274711,0,0.18995382870085226,0.010169112716981408,6149.0,True,True,False,rect
195.0,375,406,0.1615145457958631,0,0.19263916132783912,0.006309000542778609,3952.0,True,True,False,rect
195.0,358,406,0.15953766176951173,0,0.18857896614047415,0.012292334053490728,5699.0,True,True,False,rect
195.0,375,378,0.17148676831371626,0,0.19263916132783912,0.011417503006566987,6912.0,True,True,False,rect
195.0,358,378,0.15953766176951173,0,0.19131946485802717,0.009773203776035109,5633.0,True,True,False,rect
195.0,358,375,0.15953766176951173,0,0.19263916132783912,0.010255318696055121,6424.0,True,True,False,rect
195.0,378,406,0.1615145457958631,0,0.19131946485802717,0.005826885622758598,3650.0,True,True,False,rect
196.0,358,378,0.172470543053743,0,0.21270532131280792,0.0034737816753760793,2176.0,True,True,False,rect
196.0,358,375,0.173226175709845,0,0.21270532131280792,0.005373506029097373,3278.0,True,True,False,rect
196.0,375,406,0.16169479566918982,0,0.19466592198755595,0.0053735060290973895,3366.0,True,True,False,rect
196.0,378,406,0.16169479566918982,0,0.1914997147313539,0.005826885622758614,3650.0,True,True,False,rect
196.0,375,378,0.172470543053743,0,0.19466592198755595,0.010964123412905763,6525.0,True,True,False,rect
197.0,375,378,0.16005319746666563,0,0.1822485764004786,0.010964123412905763,6525.0,True,True,False,rect
197.0,375,406,0.14927745008211246,0,0.1822485764004786,0.0053735060290973895,3366.0,True,True,False,rect
197.0,378,406,0.14927745008211246,0,0.17908236914427655,0.005826885622758614,3650.0,True,True,False,rect
198.0,375,406,0.16114814819562098,0,0.19289536246537117,0.005862006577197143,3672.0,True,True,False,rect
198.0,375,378,0.16879493782110389,0,0.19289536246537117,0.009821095986633123,5800.0,True,True,False,rect
198.0,378,406,0.16114814819562098,0,0.1878241094987148,0.0074584135971310075,4672.0,True,True,False,rect
199.0,375,406,0.16243490946974679,0,0.19330676055689996,0.006309000542778626,3952.0,True,True,False,rect
199.0,375,378,0.169174407772234,0,0.19330676055689996,0.009801939102393914,5800.0,True,True,False,rect
199.0,378,406,0.16243490946974679,0,0.18820357944984492,0.0079245644469517,4964.0,True,True,False,rect
200.0,375,378,0.16848974218943988,0,0.19196490741756644,0.010354295931291033,6132.0,True,True,False,rect
200.0,378,406,0.16130058924300467,0,0.18764662642864552,0.007978842285629437,4998.0,True,True,False,rect
200.0,375,406,0.16130058924300467,0,0.19196490741756644,0.00683900767339665,4284.0,True,True,False,rect
201.0,375,378,0.16830022461101046,0,0.19023219638653435,0.011280212002852674,6670.0,True,True,False,rect
201.0,378,406,0.16111107166457522,0,0.1874571088502161,0.007978842285629454,4998.0,True,True,False,rect
201.0,375,406,0.16111107166457522,0,0.19023219638653435,0.007764923744958308,4864.0,True,True,False,rect
202.0,375,378,0.168266923252432,0,0.19021219841978868,0.011272229967753006,6670.0,True,True,False,rect
202.0,378,406,0.1610963950545627,0,0.18742380749163765,0.007744170453699172,4851.0,True,True,False,rect
202.0,375,406,0.1610963950545627,0,0.19021219841978868,0.0075222698779283574,4712.0,True,True,False,rect
203.0,378,406,0.16113630423626843,0,0.18746371667334338,0.007744170453699172,4851.0,True,True,False,rect
203.0,375,378,0.16830683243413774,0,0.19002062858360402,0.011077468311321068,6570.0,True,True,False,rect
